RUA,NUM,IDD,SEXO
RUA W,906,19,F
RUA P,328,2,M
RUA O,272,2,F
RUA W,299,0,F
RUA V,53,35,F
RUA K,291,13,M
RUA I,142,66,M
RUA I,64,63,M
RUA B,200,41,M
RUA C,63,49,M
RUA A,698,52,F
RUA O,778,60,F
RUA O,440,71,M
RUA O,89,7,M
RUA X,159,76,M
RUA F,117,19,F
RUA H,498,82,F
RUA T,812,94,F
RUA T,634,35,F
RUA U,799,10,M
RUA X,48,58,M
RUA R,807,56,F
RUA H,984,20,M
RUA D,565,10,M
RUA D,284,2,F
RUA V,912,25,F
RUA P,762,11,F
RUA J,677,35,F
RUA G,402,67,M
RUA O,552,7,F
RUA B,988,62,F
RUA R,871,98,M
RUA T,176,90,F
RUA V,599,9,F
RUA I,256,0,F
RUA G,141,99,M
RUA K,867,1,F
RUA O,732,87,M
RUA X,141,76,F
RUA P,61,49,F
RUA A,874,36,F
RUA K,211,53,M
RUA W,751,64,F
RUA Q,1000,55,F
RUA B,862,27,M
RUA T,482,31,F
RUA X,403,94,M
RUA P,600,98,F
RUA F,388,72,F
RUA T,400,83,M
RUA K,438,86,M
RUA K,407,22,M
RUA X,832,6,F
RUA U,364,89,F
RUA R,156,29,M
RUA L,652,44,M
RUA A,415,19,M
RUA D,69,50,F
RUA N,768,49,M
RUA H,637,96,F
RUA V,282,54,F
RUA X,599,95,M
RUA H,561,8,M
RUA E,176,32,M
RUA V,158,12,M
RUA O,851,57,F
RUA T,568,54,F
RUA J,970,9,M
RUA X,836,98,M
RUA V,845,54,F
RUA F,181,23,M
RUA J,528,21,M
RUA D,368,69,M
RUA L,781,67,F
RUA X,579,49,F
RUA U,748,31,M
RUA E,93,89,F
RUA K,702,31,F
RUA R,360,16,F
RUA J,370,83,M
RUA Q,386,47,M
RUA D,336,9,F
RUA Q,144,6,F
RUA K,327,4,F
RUA W,367,1,F
RUA X,196,91,M
RUA H,610,56,M
RUA P,943,93,F
RUA H,258,66,F
RUA I,615,85,M
RUA W,633,18,F
RUA O,608,99,F
RUA O,845,97,M
RUA I,328,3,F
RUA D,247,87,M
RUA B,991,23,M
RUA D,316,13,F
RUA P,29,13,F
RUA H,641,3,M
RUA H,885,48,F
RUA T,497,63,F
RUA E,840,48,M
RUA N,291,30,F
RUA R,161,54,M
RUA Q,228,94,F
RUA O,694,15,M
RUA R,417,100,M
RUA Q,316,48,M
RUA L,729,41,M
RUA U,57,81,M
RUA E,577,38,F
RUA X,646,23,M
RUA N,459,48,M
RUA C,30,90,F
RUA H,846,64,F
RUA O,750,22,F
RUA W,802,100,F
RUA I,662,5,M
RUA Q,188,76,F
RUA H,834,2,M
RUA P,971,53,F
RUA K,859,35,F
RUA Q,495,76,M
RUA M,353,50,F
RUA I,943,32,M
RUA R,475,26,F
RUA L,198,47,M
RUA C,106,77,F
RUA A,45,2,M
RUA W,568,13,F
RUA R,379,91,M
RUA L,410,22,M
RUA J,954,25,F
RUA P,817,19,F
RUA B,416,84,F
RUA O,867,14,M
RUA A,262,96,M
RUA A,452,52,M
RUA D,317,61,M
RUA Q,505,100,F
RUA P,988,86,F
RUA J,53,97,M
RUA V,375,91,F
RUA R,77,48,M
RUA K,724,23,F
RUA A,612,15,F
RUA H,494,28,M
RUA V,723,8,M
RUA P,731,1,F
RUA G,53,59,F
RUA X,916,14,F
RUA C,264,7,M
RUA N,289,19,M
RUA L,990,6,F
RUA A,521,5,M
RUA P,954,63,M
RUA R,627,83,M
RUA T,998,71,M
RUA V,552,82,M
RUA O,798,11,F
RUA N,479,25,F
RUA L,181,49,M
RUA T,271,82,M
RUA G,427,66,F
RUA G,451,43,F
RUA B,384,62,F
RUA X,672,6,M
RUA J,233,18,F
RUA N,570,98,M
RUA M,27,79,M
RUA R,910,11,M
RUA J,176,80,F
RUA D,926,59,F
RUA S,443,90,M
RUA N,719,10,M
RUA Q,235,8,F
RUA L,167,37,M
RUA J,374,60,F
RUA F,69,4,M
RUA N,653,18,F
RUA I,442,4,M
RUA A,305,72,F
RUA P,78,96,F
RUA J,69,47,F
RUA T,163,87,F
RUA H,856,2,M
RUA A,672,30,F
RUA H,548,64,M
RUA W,240,89,F
RUA G,375,28,F
RUA N,755,21,M
RUA T,295,85,M
RUA R,63,94,M
RUA M,536,57,F
RUA P,647,65,F
RUA C,478,82,M
RUA X,534,43,M
RUA O,317,3,F
RUA I,470,30,F
RUA X,59,3,M
RUA R,322,47,F
RUA B,491,71,M
RUA A,68,13,F
RUA B,607,54,F
RUA P,41,39,F
RUA T,467,27,F
RUA A,126,17,F
RUA F,466,29,F
RUA P,741,49,F
RUA A,710,99,M
RUA N,278,63,M
RUA B,871,15,F
RUA O,43,28,M
RUA Q,643,52,M
RUA S,294,42,F
RUA W,205,17,M
RUA T,6,71,M
RUA X,555,78,F
RUA B,856,51,M
RUA X,137,43,M
RUA B,179,67,M
RUA D,346,1,M
RUA K,176,61,F
RUA S,954,40,F
RUA N,216,14,F
RUA C,947,35,F
RUA D,244,14,F
RUA D,887,44,F
RUA X,570,42,M
RUA C,602,18,M
RUA P,371,47,M
RUA V,1,51,F
RUA L,510,62,M
RUA L,790,68,M
RUA I,249,2,F
RUA X,952,61,F
RUA P,883,88,M
RUA F,452,97,F
RUA U,883,94,F
RUA U,520,68,F
RUA X,574,43,M
RUA C,356,40,F
RUA E,508,87,M
RUA Q,311,70,F
RUA T,845,61,F
RUA A,658,57,F
RUA C,406,84,F
RUA U,121,50,M
RUA V,544,34,M
RUA M,739,0,F
RUA M,664,10,F
RUA R,78,9,F
RUA T,56,75,M
RUA U,778,85,M
RUA F,216,9,M
RUA N,553,39,M
RUA B,99,27,M
RUA E,759,75,F
RUA J,786,4,M
RUA P,941,29,F
RUA A,498,26,F
RUA A,496,0,M
RUA V,731,92,M
RUA N,685,19,F
RUA T,788,16,F
RUA W,13,98,M
RUA M,737,73,M
RUA P,843,91,M
RUA S,133,95,F
RUA C,599,62,F
RUA H,769,27,F
RUA L,185,1,M
RUA X,616,87,M
RUA D,601,67,M
RUA S,691,97,F
RUA K,360,28,M
RUA S,67,28,M
RUA L,231,11,F
RUA B,304,69,F
RUA K,981,24,M
RUA O,987,32,M
RUA L,816,32,F
RUA E,764,80,M
RUA H,314,55,F
RUA K,144,80,M
RUA P,87,58,M
RUA E,843,29,M
RUA G,348,4,M
RUA M,822,58,M
RUA U,953,12,M
RUA N,426,68,M
RUA S,154,50,F
RUA E,625,9,M
RUA Q,678,97,M
RUA M,1000,59,F
RUA R,437,66,F
RUA Q,146,73,M
RUA S,666,21,M
RUA E,105,74,M
RUA S,44,3,M
RUA L,240,79,F
RUA A,401,83,F
RUA W,287,13,M
RUA L,653,64,F
RUA G,716,20,M
RUA J,633,74,F
RUA J,152,60,M
RUA A,9,2,M
RUA C,962,23,F
RUA P,431,7,M
RUA L,506,43,M
RUA V,216,29,M
RUA F,677,75,F
RUA N,851,64,F
RUA N,849,44,M
RUA N,343,60,M
RUA V,504,40,F
RUA B,698,8,F
RUA H,131,11,M
RUA R,851,22,F
RUA D,607,86,M
RUA R,460,88,F
RUA X,620,49,F
RUA B,241,12,F
RUA V,760,56,F
RUA A,907,25,F
RUA E,466,51,M
RUA P,146,3,M
RUA M,776,99,F
RUA D,465,69,M
RUA K,668,93,F
RUA O,776,17,F
RUA A,246,30,F
RUA I,138,65,F
RUA M,890,10,M
RUA J,366,71,M
RUA R,776,16,M
RUA F,986,74,F
RUA D,522,26,F
RUA C,910,20,F
RUA X,977,5,M
RUA I,500,29,M
RUA I,663,27,M
RUA F,796,93,F
RUA C,182,92,F
RUA N,60,74,F
RUA S,676,34,M
RUA F,390,29,M
RUA P,895,25,M
RUA C,596,20,F
RUA A,946,5,F
RUA J,41,74,M
RUA A,15,49,F
RUA U,829,25,M
RUA P,62,85,M
RUA Q,995,52,M
RUA G,601,35,F
RUA A,266,29,M
RUA A,388,20,F
RUA R,598,1,F
RUA O,232,9,M
RUA K,94,16,F
RUA W,124,83,F
RUA R,386,47,F
RUA H,751,65,M
RUA L,888,61,M
RUA W,752,82,F
RUA A,574,68,M
RUA T,689,2,M
RUA U,325,75,M
RUA X,374,76,F
RUA G,502,60,F
RUA N,848,33,M
RUA I,457,20,F
RUA O,251,47,F
RUA W,875,62,F
RUA W,395,90,F
RUA W,736,50,F
RUA E,491,74,M
RUA J,774,68,F
RUA W,993,72,F
RUA M,635,63,M
RUA D,491,81,M
RUA J,850,98,M
RUA H,163,21,M
RUA Q,408,51,F
RUA D,527,99,M
RUA Q,190,4,F
RUA A,116,88,F
RUA C,389,74,M
RUA F,186,57,F
RUA X,178,39,M
RUA I,545,69,M
RUA O,719,39,M
RUA J,196,68,F
RUA D,645,32,M
RUA U,123,71,M
RUA S,772,29,M
RUA H,232,93,M
RUA J,214,97,M
RUA B,568,85,F
RUA S,894,10,F
RUA H,499,85,F
RUA S,112,71,M
RUA N,541,98,F
RUA V,655,12,F
RUA R,21,60,M
RUA G,582,27,M
RUA G,397,91,F
RUA H,389,67,F
RUA E,151,24,M
RUA S,489,98,F
RUA Q,96,69,M
RUA S,147,92,F
RUA H,225,88,F
RUA L,54,51,F
RUA I,219,92,M
RUA A,14,12,M
RUA P,454,88,M
RUA X,798,84,M
RUA B,600,84,F
RUA S,356,95,F
RUA M,706,60,F
RUA Q,619,41,M
RUA I,764,75,M
RUA S,391,39,F
RUA X,16,96,F
RUA Q,233,69,F
RUA J,499,13,M
RUA R,192,52,M
RUA S,949,34,M
RUA D,529,53,M
RUA D,3,1,M
RUA C,312,23,M
RUA X,338,53,F
RUA E,820,18,M
RUA K,105,20,F
RUA E,115,11,M
RUA R,171,65,M
RUA S,154,32,M
RUA F,878,45,F
RUA F,218,43,F
RUA T,157,73,F
RUA C,110,70,F
RUA W,233,12,F
RUA F,89,59,F
RUA Q,718,77,F
RUA C,360,45,F
RUA T,365,95,F
RUA R,284,38,M
RUA O,727,34,F
RUA L,335,84,M
RUA O,336,38,F
RUA W,864,76,M
RUA W,401,15,F
RUA T,878,96,M
RUA W,833,44,M
RUA D,549,97,M
RUA E,366,77,M
RUA X,98,12,F
RUA D,382,39,M
RUA R,980,65,F
RUA T,882,27,F
RUA I,838,9,F
RUA I,905,27,M
RUA K,660,41,M
RUA T,735,27,M
RUA D,811,21,F
RUA L,325,61,M
RUA T,156,33,M
RUA U,278,20,F
RUA P,210,42,M
RUA Q,560,84,F
RUA F,478,10,M
RUA S,642,88,M
RUA T,157,79,M
RUA B,269,91,F
RUA L,130,45,F
RUA A,999,7,M
RUA H,189,85,F
RUA K,626,85,M
RUA O,822,28,M
RUA K,74,7,F
RUA S,384,47,M
RUA B,485,33,F
RUA T,925,24,F
RUA Q,160,35,F
RUA H,675,36,F
RUA F,836,53,M
RUA N,962,100,M
RUA U,363,72,F
RUA B,738,35,F
RUA H,745,51,M
RUA S,972,28,M
RUA Q,329,15,F
RUA I,195,59,F
RUA I,7,69,M
RUA P,155,58,F
RUA W,807,38,M
RUA S,662,23,F
RUA I,375,69,M
RUA O,263,62,M
RUA L,430,69,F
RUA D,128,10,M
RUA L,671,68,F
RUA G,415,64,M
RUA L,946,39,F
RUA R,752,6,M
